"discount_id","discount_description","discount_type","start_date","end_date"
"daea2785-7dfa-4b31-ba7c-053b8b718ccc","Member-Exclusive Discount - Enjoy 15% off on selected items!","0.15","2023-11-24","2023-12-13"
"a55c4bb4-237d-4a20-a87d-4b284647ce0e","Holiday Sale - Enjoy 25% off on selected items!","0.25","2022-12-16","2023-11-22"
"1cfe9348-00d7-40c8-a765-f75b7b460b4d","Member-Exclusive Discount - Enjoy 10% off on selected items!","0.1","2021-10-23","2022-03-10"
"068cad69-d0a9-442b-af7d-a93313fb60d6","Flash Sale - Enjoy 10% off on selected items!","0.1","2022-10-16","2023-01-22"
"e65436bd-0f06-4d36-b59c-98d39e94e141","Member-Exclusive Discount - Enjoy 25% off on selected items!","0.25","2021-07-16","2022-03-30"
"2c7252d1-701a-4e5d-86b1-28e29e37480a","Seasonal Sale - Enjoy 10% off on selected items!","0.1","2021-05-18","2021-06-11"
"ccd1519c-d569-4416-9aa2-0289cf9a39f4","Seasonal Sale - Enjoy 15% off on selected items!","0.15","2022-04-30","2022-08-12"
"cbec1432-3583-48be-ab69-261eedf06591","Member-Exclusive Discount - Enjoy 10% off on selected items!","0.1","2021-03-19","2022-01-20"
"d82e024f-6e34-4b3d-bbec-95dfd6655b72","Flash Sale - Enjoy 10% off on selected items!","0.1","2021-07-16","2022-11-25"
"7fa7d6d2-56bb-45b6-9587-6740156581f4","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2022-01-02","2022-04-09"
"99774606-afe5-43c8-9c6f-420a43051250","Flash Sale - Enjoy 15% off on selected items!","0.15","2022-06-13","2023-04-01"
"a7d9a8bd-a193-41a7-9582-b123df6f6b54","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2022-09-15","2022-10-22"
"a21c9291-1492-43e6-99b9-752a62ee1803","Seasonal Sale - Enjoy 15% off on selected items!","0.15","2024-01-07","2024-01-10"
"77a01ca7-4045-41f0-bca8-1daadb0dfdca","Seasonal Sale - Enjoy 25% off on selected items!","0.25","2021-08-26","2023-07-13"
"84229737-6735-499b-8d78-a4562d2df354","Holiday Sale - Enjoy 10% off on selected items!","0.1","2023-05-22","2023-08-05"
"27a5a99b-bee2-41ca-8900-c58e245e9d2f","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2022-10-18","2023-11-27"
"bd3e0c27-4477-480b-b87e-80c287be8f54","Flash Sale - Enjoy 10% off on selected items!","0.1","2023-03-16","2023-06-07"
"b267c1b1-f8f8-4854-b751-0b2939302fa5","Seasonal Sale - Enjoy 40% off on selected items!","0.4","2021-03-30","2023-06-03"
"d6623b78-231e-4819-b1d6-b8f0355ec170","End of Season Clearance - Enjoy 15% off on selected items!","0.15","2021-09-09","2021-09-10"
"1bfc5fa1-85fb-4e09-a993-2e22aaf148a1","Member-Exclusive Discount - Enjoy 20% off on selected items!","0.2","2024-01-16","2024-01-17"
"f154bec6-c1d7-4697-a2c9-fcf982769915","Holiday Sale - Enjoy 40% off on selected items!","0.4","2023-10-01","2023-12-23"
"7af396ae-d493-455f-a018-c19258e8d533","Flash Sale - Enjoy 10% off on selected items!","0.1","2022-05-14","2023-07-09"
"1966a3d4-5a78-4644-b81c-6a38bb4e24cb","Seasonal Sale - Enjoy 10% off on selected items!","0.1","2021-11-17","2022-08-20"
"e247f241-5cba-4ff1-9f1d-c5e7f1179c8f","Holiday Sale - Enjoy 15% off on selected items!","0.15","2023-03-03","2024-01-04"
"e9e25f9f-2896-4b81-a332-612c47eb92a8","Member-Exclusive Discount - Enjoy 10% off on selected items!","0.1","2021-08-17","2022-04-08"
"aef44fff-143f-48ff-b30c-e2ca57f0d7ec","Seasonal Sale - Enjoy 15% off on selected items!","0.15","2023-01-23","2023-08-30"
"03d34fa2-d1b9-4d53-9d97-5a4ca870408f","Flash Sale - Enjoy 20% off on selected items!","0.2","2023-03-03","2024-01-11"
"319d1ccd-9dad-4f94-906d-7b7631bd95a1","End of Season Clearance - Enjoy 10% off on selected items!","0.1","2022-06-25","2023-06-03"
"e9f026e3-7705-4234-a4f1-161ce2424426","Holiday Sale - Enjoy 10% off on selected items!","0.1","2021-06-02","2022-01-27"
"a795382d-c378-4c51-bbed-db13ee84306f","Holiday Sale - Enjoy 20% off on selected items!","0.2","2023-04-07","2023-05-23"
"4a16d43e-f5e2-4eb8-9a23-e99273a2f3af","Flash Sale - Enjoy 20% off on selected items!","0.2","2023-04-19","2023-07-12"
"ee433933-f0aa-4e08-b3e1-b40342ebf178","Anniversary Sale - Enjoy 25% off on selected items!","0.25","2022-07-27","2023-01-31"
"044eeb12-dbc8-42a4-bf62-beeb04402e2b","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2023-02-21","2023-06-21"
"aaf2d9ca-824e-4452-b6d1-7b067fdeb96c","Anniversary Sale - Enjoy 15% off on selected items!","0.15","2023-01-20","2023-04-02"
"d233c962-ab0b-455f-879a-112bcd36407b","End of Season Clearance - Enjoy 20% off on selected items!","0.2","2023-04-27","2023-09-21"
"5bbc8d2e-b68f-4c6c-a190-d83df432b7e4","Member-Exclusive Discount - Enjoy 10% off on selected items!","0.1","2024-01-04","2024-01-21"
"47bd55e8-7869-4a8e-89bd-5bcc35c25e93","Seasonal Sale - Enjoy 15% off on selected items!","0.15","2022-03-12","2023-04-11"
"c600b6bd-8654-4eee-b75d-02e60c64eba3","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2024-01-07","2024-01-19"
"7efba5ec-7415-4340-aec7-e63acf0e5f77","Flash Sale - Enjoy 10% off on selected items!","0.1","2021-07-05","2022-03-29"
"148e3328-9f62-449d-8f4c-fa7ac6b840d4","End of Season Clearance - Enjoy 10% off on selected items!","0.1","2023-06-30","2023-10-25"
"7311eca4-a430-4994-a723-d81a11699852","End of Season Clearance - Enjoy 15% off on selected items!","0.15","2023-08-06","2023-09-21"
"93fb033a-78de-4959-97d9-c0c981b7c1f5","Anniversary Sale - Enjoy 15% off on selected items!","0.15","2021-07-28","2023-10-25"
"278e1289-8561-4f2c-922b-a7531c949756","Flash Sale - Enjoy 20% off on selected items!","0.2","2023-07-08","2023-11-30"
"895c44c5-d79a-4e56-9a0d-f6a7e3f4f213","Holiday Sale - Enjoy 10% off on selected items!","0.1","2022-01-14","2023-10-10"
"c70171e6-4bd6-4856-9d16-ec4028737535","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2023-06-06","2023-06-27"
"c278b1ca-87cc-4eec-a00c-1e2c1e34a368","End of Season Clearance - Enjoy 20% off on selected items!","0.2","2023-03-26","2023-08-21"
"7d3575a9-b570-4044-94cd-4c76a5a9b257","Member-Exclusive Discount - Enjoy 20% off on selected items!","0.2","2023-06-26","2023-08-30"
"8ba21075-0813-4ea6-8ec7-087c9451f217","Anniversary Sale - Enjoy 20% off on selected items!","0.2","2023-01-30","2023-10-28"
"81c540d2-2012-4faa-a5ed-8689232aaaf6","Holiday Sale - Enjoy 40% off on selected items!","0.4","2021-11-11","2023-08-27"
"504573b0-15ed-4490-8b6f-d4d7d46dfdcf","Holiday Sale - Enjoy 15% off on selected items!","0.15","2021-04-27","2023-10-19"
"3f899cb2-9312-4112-9571-502cb47c5766","Holiday Sale - Enjoy 10% off on selected items!","0.1","2023-08-19","2023-12-24"
"f0c814da-90de-458d-b4e0-97df70421f3d","Anniversary Sale - Enjoy 15% off on selected items!","0.15","2023-08-29","2023-12-24"
"f232a178-df21-460a-96ab-b488b7a84bc3","Flash Sale - Enjoy 15% off on selected items!","0.15","2023-05-13","2023-11-08"
"cc15e7d8-8220-4284-917c-192a0b03e291","Flash Sale - Enjoy 10% off on selected items!","0.1","2022-08-08","2023-09-24"
"7871d273-44b0-4764-a878-084100c9c97a","Holiday Sale - Enjoy 10% off on selected items!","0.1","2023-09-07","2023-12-12"
"f550ad61-4817-4625-89d3-c9fb9fc5fefa","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2022-06-09","2023-08-17"
"b75f1e26-1cd0-4054-8943-3b06cc061834","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2021-03-24","2021-05-07"
"722b4393-8418-4955-aa32-18705cf687d5","Flash Sale - Enjoy 10% off on selected items!","0.1","2023-10-21","2023-10-26"
"51d554d6-dcbb-426b-bb99-114cb5914fbd","Flash Sale - Enjoy 10% off on selected items!","0.1","2023-05-20","2023-11-02"
"50e4d91c-7852-4d8f-8d48-b40d317ee917","Anniversary Sale - Enjoy 10% off on selected items!","0.1","2021-09-06","2023-05-25"
"0e89832c-475a-4ae3-88b0-75df39a965bb","Member-Exclusive Discount - Enjoy 10% off on selected items!","0.1","2022-05-28","2023-11-05"
"ae125948-cfda-4987-8287-94d48e1a8064","Flash Sale - Enjoy 15% off on selected items!","0.15","2021-06-08","2023-07-08"
"4ac1925e-6a53-4d57-bf28-82d95f8d053e","Anniversary Sale - Enjoy 15% off on selected items!","0.15","2023-11-01","2023-12-18"
"ccfb0590-1e0f-4a91-8c69-11fe8a94b952","Holiday Sale - Enjoy 20% off on selected items!","0.2","2022-12-22","2023-01-25"
"360900a4-a86f-4c32-8867-d21148d84647","Holiday Sale - Enjoy 10% off on selected items!","0.1","2022-01-02","2023-09-25"
"4b329da7-ee47-44f3-9554-b1c87a0e355c","Seasonal Sale - Enjoy 10% off on selected items!","0.1","2021-08-31","2022-12-03"
"ea60c825-71b0-4a9b-ad0b-d0e010cae90b","Member-Exclusive Discount - Enjoy 15% off on selected items!","0.15","2023-06-23","2023-09-24"
"9ddf92d3-3bd9-46d0-aea0-30898fbe6be7","Holiday Sale - Enjoy 15% off on selected items!","0.15","2023-08-15","2023-09-22"
"b0a85a12-4079-4620-ab65-00d371a6cee5","End of Season Clearance - Enjoy 40% off on selected items!","0.4","2022-11-16","2023-11-10"
"bb0ad5d3-a88f-4422-9539-0bf1c30325f1","Anniversary Sale - Enjoy 20% off on selected items!","0.2","2022-12-12","2023-07-28"
"99fb209d-a463-48ba-a527-2ecd06e7e7ed","Flash Sale - Enjoy 15% off on selected items!","0.15","2021-09-17","2023-04-28"
"820846a3-a8e0-412c-911e-62e12ff96df9","Holiday Sale - Enjoy 15% off on selected items!","0.15","2021-10-14","2023-03-31"
"22314669-128a-462d-9e27-73ae2f35f5a1","Seasonal Sale - Enjoy 15% off on selected items!","0.15","2022-10-25","2022-12-26"
"20a15385-3973-4338-a56b-3ea2a225ae7c","Holiday Sale - Enjoy 10% off on selected items!","0.1","2021-02-22","2021-05-04"
